client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;report_generated_at;audit_flags;audit_comment
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2026-08-25;;Проверено: строка совпадает с восстановленным расчётом.
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2026-08-25;;Проверено: строка совпадает с восстановленным расчётом.
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непролонгировано;2026-08-25;;Проверено: строка совпадает с восстановленным расчётом.
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-07-01;2024-06-01;отвал;2026-08-25;REPORT_ERROR;[REPORT_ERROR] Поле «flight_end» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv.
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);2026-08-25;;Проверено: строка совпадает с восстановленным расчётом.
311;310;Гамма Ритейл;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2026-08-25;REPORT_ERROR;[REPORT_ERROR] Поле «project_ids» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «project_name» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv.
311;311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2026-08-25;REPORT_ERROR;[REPORT_ERROR] Поле «project_ids» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv.
321;320|321;Дельта Пиар;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2026-08-25;REPORT_ERROR;[REPORT_ERROR] Поле «project_name» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv.
321;321;Дельта Реклама;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;NEEDS_REVIEW;2026-08-25;REPORT_ERROR|NEEDS_REVIEW;[REPORT_ERROR] Поле «project_ids» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «status» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [NEEDS_REVIEW] Статус не установлен предположением: требуется бизнес-уточнение для однозначной классификации. В подтверждённом периоде флайта отсутствует активность в месяцах: 2024-10-01, 2024-11-01, 2024-12-01. Данных недостаточно, чтобы автоматически трактовать это как уход или обычное непродление. [NEEDS_REVIEW] Сохранено как контекст для аудита и последующего объяснения пользователю. В подтверждённом периоде флайта отсутствует активность в месяцах: 2024-10-01, 2024-11-01, 2024-12-01. Данных недостаточно, чтобы автоматически трактовать это как уход или обычное непродление.
330;330;Кварц Медиа;Крауд-маркетинг;6;1;2024-01-01;2024-06-01;2024-06-01;NEEDS_REVIEW;2026-08-25;REPORT_ERROR|DATA_CONFLICT|NEEDS_REVIEW;"[REPORT_ERROR] Поле «service_type» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «term_months» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «flight_end» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «last_active_month» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «status» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [DATA_CONFLICT] Источники расходятся по сроку услуги; в исправленном отчёте применён срок из service_terms.csv. 2024-01-01: Срок 12 мес. из projects.csv не соответствует сроку 6 мес. для исторической услуги «Крауд-маркетинг» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-02-01: Срок 12 мес. из projects.csv не соответствует сроку 6 мес. для исторической услуги «Крауд-маркетинг» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-03-01: Срок 12 мес. из projects.csv не соответствует сроку 6 мес. для исторической услуги «Крауд-маркетинг» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-04-01: Срок 12 мес. из projects.csv не соответствует сроку 6 мес. для исторической услуги «Крауд-маркетинг» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-05-01: Срок 12 мес. из projects.csv не соответствует сроку 6 мес. для исторической услуги «Крауд-маркетинг» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-06-01: Срок 12 мес. из projects.csv не соответствует сроку 6 мес. для исторической услуги «Крауд-маркетинг» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. [NEEDS_REVIEW] Статус не установлен предположением: требуется бизнес-уточнение для однозначной классификации. Следующий флайт начался в 2024-11-01 после перерыва; ожидалось продолжение с 2024-07-01. Нужно уточнить, считать ли это поздним продлением, новым контрактом или отдельной услугой. [NEEDS_REVIEW] Сохранено как контекст для аудита и последующего объяснения пользователю. Следующий флайт начался в 2024-11-01 после перерыва; ожидалось продолжение с 2024-07-01. Нужно уточнить, считать ли это поздним продлением, новым контрактом или отдельной услугой."
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2024-11-01;2025-10-01;2025-02-01;NEEDS_REVIEW;2026-08-25;REPORT_ERROR|NEEDS_REVIEW;[REPORT_ERROR] В исправленный отчёт добавлена ожидаемая строка, восстановленная из сырых данных. В исходном report.csv отсутствует строка с тем же client_id, flight_no и flight_start. [NEEDS_REVIEW] Статус не установлен предположением: требуется бизнес-уточнение для однозначной классификации. В подтверждённом периоде флайта отсутствует активность в месяцах: 2025-03-01, 2025-04-01, 2025-05-01, 2025-06-01, 2025-07-01, 2025-08-01, 2025-09-01. Данных недостаточно, чтобы автоматически трактовать это как уход или обычное непродление. [NEEDS_REVIEW] Сохранено как контекст для аудита и последующего объяснения пользователю. В подтверждённом периоде флайта отсутствует активность в месяцах: 2025-03-01, 2025-04-01, 2025-05-01, 2025-06-01, 2025-07-01, 2025-08-01, 2025-09-01. Данных недостаточно, чтобы автоматически трактовать это как уход или обычное непродление.
331;331;Титан Строй;Мониторинг СМИ;12;1;2024-01-01;2024-12-01;2024-12-01;NEEDS_REVIEW;2026-08-25;REPORT_ERROR|DATA_CONFLICT|NEEDS_REVIEW;"[REPORT_ERROR] Поле «service_type» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «term_months» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «flight_end» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «last_active_month» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [REPORT_ERROR] Поле «status» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv. [DATA_CONFLICT] Источники расходятся по сроку услуги; в исправленном отчёте применён срок из service_terms.csv. 2024-01-01: Срок 6 мес. из projects.csv не соответствует сроку 12 мес. для исторической услуги «Мониторинг СМИ» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-02-01: Срок 6 мес. из projects.csv не соответствует сроку 12 мес. для исторической услуги «Мониторинг СМИ» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-03-01: Срок 6 мес. из projects.csv не соответствует сроку 12 мес. для исторической услуги «Мониторинг СМИ» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-04-01: Срок 6 мес. из projects.csv не соответствует сроку 12 мес. для исторической услуги «Мониторинг СМИ» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-05-01: Срок 6 мес. из projects.csv не соответствует сроку 12 мес. для исторической услуги «Мониторинг СМИ» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. 2024-06-01: Срок 6 мес. из projects.csv не соответствует сроку 12 мес. для исторической услуги «Мониторинг СМИ» из service_terms.csv. Для расчёта используется service_terms.csv согласно main_rules.txt. [NEEDS_REVIEW] Статус не установлен предположением: требуется бизнес-уточнение для однозначной классификации. Внутри флайта 2024-01-01—2024-12-01 услуга изменилась с «Мониторинг СМИ» на «Управление репутацией». Границы уже начавшегося флайта не пересчитываются автоматически; требуется проверка."
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-05-01;2024-04-01;отвал;2026-08-25;REPORT_ERROR;[REPORT_ERROR] Поле «flight_end» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv.
340;340;Сигма Групп;Управление репутацией;6;2;2024-06-01;2024-11-01;2024-09-01;NEEDS_REVIEW;2026-08-25;REPORT_ERROR|NEEDS_REVIEW;[REPORT_ERROR] В исправленный отчёт добавлена ожидаемая строка, восстановленная из сырых данных. В исходном report.csv отсутствует строка с тем же client_id, flight_no и flight_start. [NEEDS_REVIEW] Статус не установлен предположением: требуется бизнес-уточнение для однозначной классификации. После STOP в 2024-05-01 найдена новая активность с 2024-06-01. Продолжение после досрочного завершения требует отдельной бизнес-трактовки.
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;пролонгировано;2026-08-25;REPORT_ERROR;[REPORT_ERROR] Поле «status» заменено значением, рассчитанным программой. Флайт восстановлен по помесячным отгрузкам, истории project_id, изменениям услуги и service_terms.csv.
350;350;Орион Диджитал;Управление репутацией;6;2;2025-09-01;2026-02-01;2025-09-01;неизвестно;2026-08-25;REPORT_ERROR|NEEDS_REVIEW;"[REPORT_ERROR] В исправленный отчёт добавлена ожидаемая строка, восстановленная из сырых данных. В исходном report.csv отсутствует строка с тем же client_id, flight_no и flight_start. [NEEDS_REVIEW] Сохранено как контекст для аудита и последующего объяснения пользователю. В актуальных works.csv есть активность после даты построения отчёта (2025-10-01, 2025-11-01, 2025-12-01, 2026-01-01); она не использована для исторического статуса."
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;неизвестно;2026-08-25;;Проверено: строка совпадает с восстановленным расчётом.
